events,legs,total_return,cagr,max_dd,sharpe,exposure,leg_winrate,leg_pf,event_winrate,event_pf,avg_event,worst_event,best_event,z_thr,aftershock_gap,aftershock_win,n_picks,hold_hours,target_risk
185,555,2.859678168885713,0.34725192817536477,-0.4862698631590966,1.022949635825996,0.11639026599894305,0.5513513513513514,1.758163416269979,0.5945945945945946,1.5747107005394454,0.008377351825579386,-0.2287823646837532,0.1358566159694381,2.0,24.0,96.0,3,24,0.06
185,555,5.809314890152693,0.5270794948197268,-0.694901674733424,1.0212514798489238,0.11639026599894305,0.5513513513513514,1.758163416269979,0.5945945945945946,1.5736175393781358,0.013935695345453102,-0.3813039411395887,0.22642769328239684,2.0,24.0,96.0,3,24,0.1
163,489,1.7188097635231077,0.2469963285419874,-0.5938080899069474,0.848572220595406,0.15177290686262174,0.5725971370143149,1.687422535773376,0.6012269938650306,1.46926745912147,0.007098582039128209,-0.22951926911269804,0.1744789944767776,2.0,24.0,96.0,3,36,0.06
163,489,3.0541931001405302,0.3619506947880866,-0.7927596866862971,0.8485722205954064,0.15177290686262174,0.5725971370143149,1.687422535773376,0.6012269938650306,1.4692674591214696,0.011830970065213683,-0.38253211518783015,0.29079832412796264,2.0,24.0,96.0,3,36,0.1
185,925,0.9547469690794261,0.1594237410745427,-0.6620792562653679,0.5943603247085313,0.06052293831945039,0.5524324324324325,1.3956292098416263,0.5837837837837838,1.3121797302968168,0.005222286343997539,-0.3378352616199996,0.1669872597757133,2.0,24.0,96.0,5,12,0.06
185,925,1.1116939190191752,0.1793545519678994,-0.8457113918132558,0.6018853532312823,0.06052293831945039,0.5524324324324325,1.3956292098416263,0.5837837837837838,1.3181576663180543,0.008715834539863502,-0.5630587693666661,0.27831209962618886,2.0,24.0,96.0,5,12,0.1
185,925,2.7918908566126777,0.3419937967522755,-0.4096902125594365,1.0180479211235178,0.11639026599894305,0.5654054054054054,1.672801837178103,0.6,1.5619892805045332,0.008302071258477983,-0.23749977787386173,0.13005423037005204,2.0,24.0,96.0,5,24,0.06
185,925,5.6408168803426495,0.5186582830744859,-0.6160679765329486,1.017028679139851,0.11639026599894305,0.5654054054054054,1.672801837178103,0.6,1.5612284884201875,0.013818053904780535,-0.39583296312310295,0.2167570506167534,2.0,24.0,96.0,5,24,0.1
163,815,1.7609824250229336,0.25123959939541574,-0.5202525008895921,0.8654065095626443,0.15177290686262174,0.5668711656441717,1.6189921761052073,0.6196319018404908,1.4850551316764329,0.007170168276638093,-0.24576047741990778,0.1317173986805562,2.0,24.0,96.0,5,36,0.06
163,815,3.1755095561588966,0.37084197731380564,-0.7265545423262336,0.8653481725005231,0.15177290686262174,0.5668711656441717,1.6189921761052073,0.6196319018404908,1.4850158342111497,0.011949312291259943,-0.4096007956998463,0.21952899780092702,2.0,24.0,96.0,5,36,0.1
185,1480,1.0532160897812073,0.172067772344334,-0.6683502534535799,0.627019127693984,0.06052293831945039,0.5540540540540541,1.353684925638455,0.6054054054054054,1.3241942782250893,0.005373824842923553,-0.3019710921733432,0.13771797247438416,2.0,24.0,96.0,8,12,0.06
185,1480,1.487577380533442,0.22277306255470708,-0.8408072211160607,0.659497967778723,0.06052293831945039,0.5540540540540541,1.353684925638455,0.6054054054054054,1.3461292421125017,0.009276659295390751,-0.5032851536222388,0.22952995412397362,2.0,24.0,96.0,8,12,0.1
185,1480,3.4788815756979403,0.3922261341092017,-0.40370866663156424,1.1360105066286013,0.11639026599894305,0.5817567567567568,1.6701469618279081,0.6162162162162163,1.6362608516290198,0.009197645313498645,-0.22738654665575636,0.12415870024813601,2.0,24.0,96.0,8,24,0.06
185,1480,7.841375668633063,0.6176779592625881,-0.6112758492988701,1.1341710711996984,0.11639026599894305,0.5817567567567568,1.6701469618279081,0.6162162162162163,1.63473940767514,0.015292752763662982,-0.37897757775959395,0.20693116708022669,2.0,24.0,96.0,8,24,0.1
163,1304,1.8896654173384335,0.2638824684384202,-0.5387116485242665,0.9059391958935327,0.15177290686262174,0.5843558282208589,1.566055394626971,0.6134969325153374,1.5080288972135059,0.007368358647354898,-0.2221635542258053,0.1241951369663633,2.0,24.0,96.0,8,36,0.06
163,1304,3.508992363315503,0.3942863840659445,-0.7435168756793504,0.9030914332588238,0.15177290686262174,0.5843558282208589,1.566055394626971,0.6134969325153374,1.5061255174427621,0.012234587289395383,-0.3702725903763422,0.20699189494393883,2.0,24.0,96.0,8,36,0.1
202,606,1.0902394803379716,0.17669964635754232,-0.708568038876717,0.6197025659014426,0.06608450562448097,0.5396039603960396,1.4638479736197205,0.5643564356435643,1.2997500358116818,0.005157431220422066,-0.32373268542561656,0.21637172451192144,2.0,24.0,120.0,3,12,0.06
202,606,1.4002090434739096,0.2131626087107914,-0.8798293728807607,0.6439615471704351,0.06608450562448097,0.5396039603960396,1.4638479736197205,0.5643564356435643,1.316121458918495,0.00879528509283693,-0.5395544757093611,0.36061954085320247,2.0,24.0,120.0,3,12,0.1
202,606,1.6954415138705379,0.24462296507452397,-0.5650509490492801,0.7704134345779833,0.12708558773938647,0.5412541254125413,1.6148422871061046,0.5891089108910891,1.3728463767960526,0.006046250310690063,-0.2287823646837532,0.1358566159694381,2.0,24.0,120.0,3,24,0.06
